"sample_id","true_label","k=3","k=4","k=5","k=6","k=7"
"F326","LumA","2","2","2","2","2"
"F327","LumB","3","3","4","4","4"
"F328","LumA","3","4","5","5","5"
"F329","Her2","3","3","4","4","4"
"F330","LumA","2","2","3","3","3"
"F331","LumB","2","2","2","2","2"
"F332","LumA","3","4","5","5","5"
"F333","Her2","3","3","4","4","4"
"F334","LumB","2","2","2","2","2"
"F335","LumA","2","2","2","2","2"
"F336","LumA","3","4","5","5","5"
"F337","Normal","3","4","5","5","5"
"F338","LumA","2","2","2","2","2"
"F339","LumA","3","3","4","4","4"
"F340","LumA","3","4","5","5","5"
"F341","Basal","1","1","1","1","1"
"F342","LumA","2","2","2","2","2"
"F343","Basal","1","1","1","1","1"
"F344","LumB","2","2","2","2","2"
"F345","LumA","3","4","5","5","5"
"F346","LumA","2","2","3","3","7"
"F347","LumA","3","4","5","5","5"
"F348","LumA","2","2","2","2","2"
"F349","LumB","3","3","4","4","4"
"F350","LumA","3","4","5","5","5"
"F351","LumA","2","2","2","2","2"
"F352","LumA","2","2","2","2","2"
"F353","LumA","2","2","2","2","2"
"F354","Basal","3","3","4","4","4"
"F355","LumA","2","2","2","2","2"
"F356","LumA","2","2","2","2","2"
"F357","LumA","3","4","5","5","5"
"F358","LumB","3","3","4","6","6"
"F359","Normal","3","4","5","5","5"
"F360","Her2","3","3","4","6","6"
"F361","LumA","3","3","4","4","4"
"F362","LumA","3","4","5","5","5"
"F363","LumA","2","2","3","3","3"
"F364","LumB","2","2","3","3","3"
"F365","LumB","2","2","3","3","7"
"F366","LumA","2","2","2","2","2"
"F367","LumA","2","2","2","2","2"
"F368","LumA","2","2","2","2","2"
"F369","Basal","1","1","1","1","1"
"F370","LumA","2","2","3","3","3"
"F371","LumA","2","2","2","2","2"
"F372","LumA","3","3","4","4","4"
"F373","LumA","2","2","3","3","7"
"F374","LumA","2","2","2","2","2"
"F375","LumA","2","2","2","2","2"
"F376","Her2","3","3","4","4","4"
"F377","LumA","3","4","5","5","5"
"F378","LumA","3","4","5","5","5"
"F379","Basal","1","1","1","1","1"
"F380","LumB","2","2","2","2","2"
"F381","LumB","2","2","2","2","2"
"F382","Her2","3","3","4","6","6"
"F383","LumA","3","4","5","5","5"
"F384","Basal","1","1","1","1","1"
"F385","Her2","3","3","4","6","6"
"F386","LumB","3","3","4","4","4"
"F387","LumA","3","3","4","4","4"
"F388","LumB","2","2","3","3","7"
"F389","LumA","3","4","5","5","5"
"F390","Her2","3","3","4","6","6"
"F391","LumA","2","2","3","3","7"
"F392","LumB","2","2","2","2","2"
"F393","LumA","2","2","2","2","2"
"F394","LumA","3","4","5","5","5"
"F395","LumA","2","2","2","2","2"
"F396","LumB","3","3","4","4","4"
"F397","LumB","2","2","3","3","7"
"F398","LumA","2","2","3","3","3"
"F399","LumA","3","4","5","5","5"
"F400","LumA","3","4","5","5","5"
"F401","LumB","2","2","2","2","2"
"F402","Basal","1","1","1","1","1"
